Roll No,Name,Branch,Package,Company,Year,Gender,Password,Percentage,QUALIFICATION,COURSES DONE IF ANY,DOB,Company Notified
501,ABC,CSE,9L,TCS,2021,Male,123,79%,BTECH,NO,04-01-1998,
502,DEF,ECE,8.5L,HCL,2020,Female,456,75%,BTECH,NO,13-12-1999,
503,GHI,CSE,12L,Larsen&Toubro Wipro TCS Wipro Tech Mahindra Larsen&Toubro Larsen&Toubro Larsen&Toubro,2024,Male,777,90%,B-TECH,AI & ML,03-07-2002,
504,JKL,MEC,7.5L,WIPRO,2018,Female,101,68%,MTECH,NO,06-07-2000,
505,MNO,CIVIL,7L,XL,2017,Male,213,65%,MTECH,NO,26-08-1999,
506,PQR,CE,6.5L,MATH,2016,Female,141,60%,MTECH,MASTER CLASS,10-03-1997,
507,STU,AE,9L,INFOTEC,2018,Female,516,80%,BTECH,NO,19-10-2000,
508,VWX,ASE,8L,TECH,2019,Female,171,72%,BTECH,NO,23-06-1998,
509,Yza,MS,7L,DECLON,2020,Male,819,66%,BTECH,UDACITY,31-03-1997,
510,bcd,ME,6L,SUBHUB,2021,Male,202,65%,BTECH,NO,29-04-1998,
511,ABC,EEE,5L,MIC,2020,Male,122,62%,MTECH,NO,05-09-2000,
512,PQR,AE,7L,TCS,2019,Male,102,70%,MTECH,CODE ACADEMY,04-11-1997,
513,bcd,CE,6L,HCL,2017,Female,555,67%,BTECH,NO,15-04-1998,
514,efg,CSE,8L,TCS,2019,Female,534,75%,BTECH,MICROSOFT AZURE,21-08-1999,
515,hij,CIVIL,6L,MATH,2020,Male,503,65%,BTECH,NO,30-09-1997,
516,klm,CE,5L,INFOTEC,2020,Female,524,60%,MTECH,NO,31-12-2000,
517,nop,AE,9L,TECH,2021,Female,206,80%,MTECH,SKILLSHARE,03-06-1996,
518,qrs,ASE,3.5L,DECLON,2018,Male,312,55%,BTECH,NO,24-05-1997,
519,uvw,MS,7L,SUBHUB,2020,Male,171,73%,BTECH,NO,17-11-1998,
520,xyz,ME,6L,MIC,2019,Female,789,77%,MTECH,COURSERA,07-01-1999,
521,asd,CSE,8L,AVN,2021,Male,333,89%,BTECH,NO,09-02-1997,
522,MCN,CSE,10L,TCS,2021,Male,902,94%,MTECH,NO,12-10-2001,
523,GAR,CSE,10L,GOOGLE,2021,Female,794,95%,BTECH,UNACADEMY,27-09-1998,
555,DSR,CSE,12L,TCS,2020,MALE,85,555,MTECH,NO,28-03-1997,
