Roll No ,Name,Branch,Package,Company,Year,Gender,Password,Percentage
501,ABC,CSE,9L,TCS,2021,Male,123,79%
502,DEF,ECE,8.5L,HCL,2020,Female,456,75%
503,GHI,EEE,8L,APS,2019,Male,789,70%
504,JKL,MEC,7.5L,WIPRO,2018,Female,101,68%
505,MNO,CIVIL,7L,XL,2017,Male,213,65%
506,PQR,CE,6.5L,MATH,2016,Female,141,60%
507,STU,AE,9L,INFOTEC,2018,Female,516,80%
508,VWX,ASE,8L,TECH,2019,Female,171,72%
509,Yza,MS,7L,DECLON,2020,Male,819,66%
510,bcd,ME,6L,SUBHUB,2021,Male,202,65%
511,ABC,EEE,5L,MIC,2020,Male,122,62%
512,PQR,AE,7L,TCS,2019,Male,102,70%
513,bcd,CE,6L,HCL,2017,Female,555,67%
514,efg,CSE,8L,TCS,2019,Female,534,75%
515,hij,CIVIL,6L,MATH,2020,Male,503,65%
516,klm,CE,5L,INFOTEC,2020,Female,524,60%
517,nop,AE,9L,TECH,2021,Female,206,80%
518,qrs,ASE,3.5L,DECLON,2018,Male,312,55%
519,uvw,MS,7L,SUBHUB,2020,Male,171,73%
520,xyz,ME,6L,MIC,2019,Female,789,77%
521,asd,CSE,8L,AVN,2021,Male,333,89%
522,MCN,CSE,10L,TCS,2021,Male,902,94%
523,GAR,CSE,10L,GOOGLE,2021,Female,794,95%
555,DSR,CSE,12L,TCS,2020,MALE,85,555
