Name,Admission Number,Branch,Father's Name,Mother's name,cast,Contact number,DOB,10th CGPA,Inter marks,Eamcet rank,Special Catogory,E.MAIL ID,GENDER
SAI,501,CSE,SURESH,SUMA,OC,9876543210,23-4-2002,10,985,10000,NILL,sai1982@gmail.com,F
GEETHKA,802,ECE,RAMU,LATHA,BC-A,9234567891,20-4-2001,10,870,29000,NCC,geethika198@gmail.com,F
SREE,124,CIVIL,RAJU,SIRI,BC-B,9156784309,8/4/2003,10,866,7000,NILL,sree9873@gmail.com,F
RAM,409,ECE,HARSH,SARITHA,SC,8932768113,1/8/2002,10,900,3040,NILL,ram2718@gmail.com,M
SEETHA,565,CSE,MAHESH,RANI,SC,9856391786,9/3/2001,10,959,20000,NCC,seetha9045@gmail.com,F
MADHU,344,EEE,ABI,LAKSHMI,ST,8236549214,818-9-2002,10,590,5782,NILL,madhu@gmail.com,M
PRADEEP,433,ECE,RAMESH,RAJI,BC-C,8240918365,28-7-2002,9.8,790,3802,NILL,pradeep@gmail.com,M
DIYA,543,CSE,SREENU,RAMYA,BC-A,9128374651,17-9-2001,9.2,800,50287,CAP,diya186@gmail.com,F
KALA,349,EEE,HARISH,PREETHI,OC,8765346992,31-8-2003,9.6,890,8000,Sport,kala735986@gmail.com,F
ANUSHA,101,CIVIL,VAMSI,VARSHITHA,BC-B,6567587554,21-11-2002,9,554,7800,NILL,anusha65462@gmail.com,F
JOHN,569,CSE,ABC,XVZ,OC,9865397342,13-6-2002,10,887,3400,NILL,john@gmail.coom,M
HONEY,573,CSE,YFJHF,LIUN,SC,9753175646,21-12-2001,10,778,43243,NCC,honey@gmail.com,F
AMELIA,102,CIVIL,HVRUYU,INBN,ST,9123456789,13-9-2001,9,976,76554,CAP,amelia@gmail.com,F
JENNY,358,EEE,BADRF,OKDV,BC-A,6236865868,25-2-2002,9.8,877,42870,NILL,jenny@gmail.com,M
SWEETY,235,MECH,DSRC,MNHU,BC-B,5476426537,19-4-2001,8.6,654,54376,NCC,sweety@gmail.com,F
ROBORT,287,MECH,KIIUF,KAVIU,OC,6586439764,9/3/2001,9.8,434,88675,CAP,robort@gmail.com,M
JAMES,436,ECE,JHVTDJ,EXGJJH,SC,7886765564,7/10/2002,9.4,776,987,NILL,robort@gmail.com,M
THOMAS,875,EEE,IUTGJ,YRVJ,ST,8767655448,10/10/2001,9.3,826,9791,NILL,thomas@gmail.com,M
GRACE,185,CIVIL,FDSHF,YRCB,BC-A,9878765356,5/7/2001,10,863,9834,NILL,grace@gmail.com,F
SITA,563,CSE,YB,TERBRS,BC-D,4336876887,8/4/2003,10,987,8273,NILL,sita@gmail.com,F
RAMU,205,MECH,GFXFGH,TRVHVH,BC-B,8653456787,9/4/2001,10,765,9872,CAP,ramu@gail.com,M
ARCHANA,370,EEE,UBGNUN,HGGTVTHB,BC-C,4356787654,3/9/2002,9,982,5165,NCC,archanam@gmail.com,F
SREEJA,259,MECH,GRC,GFGBHYFYH,OC,9543754433,2/12/2002,9.2,876,855,NILL,sreeja@gmail.com,F
RASHMI,554,CSE,SURENDRA,LAKSHMI,ST,9123456780,12/7/2002,9,585,29045,CAP,rashmi@gmail.com,F
DEEPIKA,589,CSE,SURESH,BANU,OC,9191929282,4/3/2002,9.5,584,2467,CAP,deepika@gmail.com,F
PREETHI,832,CSE,RAVI,SIRI,BC-E,9874235416,6/12/2003,9.6,896,4609,NCC,preethi@gmail.com,F
SUREKHA,876,MECH,SRINIVAS,SUMATHI,ST,9125478630,11/15/2003,8.8,987,10462,CAP,suresha@gmail.com,M
SOUMYA,485,ECE,RAVINDRA,BHARATHI,ST,9874576384,6/25/2003,8.9,678,10567,NCC,soumya@gmail.com,F
KEERTHI,437,ECE,SUDHARSHAN,SOUMYA,OC,9856320147,12/20/2002,9.8,786,36045,SPORT,keerthi@gmail.com,F
